ID,Name,Owner,Mailing_Address,Phone_1,Phone_2,Email,Website,Business_Operation_Year,Franchise,Own_Lease,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Income_052019_062019,Income_052020_062020,Income_052021_062021,Profit_052019_062019,Profit_052020_062020,Profit_052021_062021,Selected_Open,Helpfulness,Long,Lat
4658,QUESADA BURRITOS & TACOS,Benjamin Schultz,234 WELLINGTON ST W,9657138152,3844524856,c@z.tnl,39wIW5cgbGdL7 @ aux .com,Under 1 year,Y,Lease,23,10,17,91,6,91,Y,Y,Y,N,Others,N,Low-end,266863,41781,40981,6854,1617,1052,N,0,-79.38981,43.64529
4659,QUESADA MEXICAN GRILL,Dorie Okuneva,92 KING ST E,2419277651,4281482936,nvoygjqki@wivbxzgqmn.jtk,mRgXwiUfIXIpM @ cmo .com,11-20 years,Y,Lease,58,18,68,90,25,53,Y,Y,Y,N,Korean,N,Low-end,124044,44412,101460,3506,1483,2868,Y,1,-79.37458,43.65001
4660,QUETZAL,Yuriko Keeling,419 COLLEGE ST,8323523568,6475418742,ntoumdk@ikoxsrh.yjd,tX8BvA5xibTyA @ fsa .com,1-5 years,N,Own,5,4,10,98,42,66,Y,Y,Y,N,Mexican,N,Low-end,128056,43860,206369,3679,816,5930,Y,2,-79.40689,43.6565
4661,QUINCY'S,Bradford Kihn,326 PARLIAMENT ST,1634574851,6971269845,onxkhp@brmnhupcjw.sjd,eHwgOQfKuzOLl @ qej .com,1-5 years,N,Own,40,9,47,135,63,90,Y,Y,Y,N,Greek,Y,High-end,535377,173801,438872,13205,4736,10824,Y,3,-79.36613,43.65979
4662,QUINNS/SHOPSY'S,Deann Koelpin,96 RICHMOND ST W,5829457162,7924316825,fntejwopyi@ewjz.sbe,rQoRsXm7mOvMr @ obi .com,6-10 years,N,Lease,56,11,7,124,30,53,Y,N,N,N,Others,N,High-end,494056,118084,112991,21548,650,4928,N,0,-79.38291,43.65099
4663,QUISQUEYA LA BELLA,Teisha Heller,"1300 FINCH AVE W, Unit-37",8737635962,4719573549,ftsjznlcg@eglq.pav,bkJzFLioHatpp @ eah .com,11-20 years,N,Own,19,3,9,107,32,69,Y,Y,Y,N,Japanese,Y,Low-end,188372,32144,29095,6346,2868,980,N,0,-79.48988,43.76485
4664,QUIZNO'S RESTAURANT,Terri Russel,3747 KEELE ST,6433291793,8755737438,apbtlxfn@nswrixq.baj,2IabVTXyaWLe0 @ pvz .com,11-20 years,Y,Own,20,18,9,123,64,60,Y,Y,Y,N,Indian,N,High-end,674570,302820,272386,18774,5021,7580,N,0,-79.48885,43.75743
4665,QUIZNO'S SUB,Curtis Keeling,1196 KING ST W,7985725786,9579365479,rx@btgkydvhx.xlg,AmBvViS1mF3Fg @ tvb .com,1-5 years,N,Own,55,19,6,73,1,42,Y,Y,Y,N,Vietnamese,N,Average,502683,110918,124591,18555,3069,4598,N,0,-79.42727,43.63894
4666,QUORUM,Zenaida Renner,23 QUEENS PARK CRES E,6816292981,7948396319,ihrxgnpud@gcqo.ydi,plFilrIbz5CW0 @ uxo .com,Over 20 years,Y,Lease,40,14,63,114,37,50,N,Y,N,N,Thai,Y,Average,438975,92118,417874,9975,3424,9495,Y,2,-79.38968,43.6631
4667,Qing Feng Bun,Kiana Goyette,"3278 MIDLAND AVE, Unit-D105",8125649564,5698416287,ywbv@uzlnhovj.pra,oYvYiObudIwvO @ ruj .com,11-20 years,Y,Own,29,8,50,105,68,61,N,N,Y,N,Japanese,Y,Low-end,237069,117400,199019,7907,780,6638,Y,4,-79.28862,43.80531
4668,Queen Margherita Pizza,Sylvia Hintz,785 ANNETTE ST,2518391253,2147648614,aipshmqog@incytu.jah,sQldxouyTHA8y @ aty .com,Under 1 year,N,Own,22,14,65,152,38,82,Y,Y,Y,Y,Mexican,Y,Average,394940,233719,277937,16074,8621,11312,Y,2,-79.48778,43.65818
4669,Quesada,Josphine Reilly,900 WARDEN AVE,9289176379,6922633568,kn@zcglxawypn.iwd,bj8e5rYB2P2VJ @ ayo .com,1-5 years,Y,Own,32,4,54,112,10,61,Y,Y,Y,N,Indian,N,Average,222067,91237,319794,8434,2536,12146,Y,1,-79.28904,43.72985
4670,R & D RESTAURANT,Jefferey Little,241 SPADINA AVE,5383956354,5938343467,rby@kvq.sca,lP9gS9oB5I6ql @ jsh .com,11-20 years,Y,Lease,61,10,46,102,17,88,Y,N,Y,N,Japanese,N,Average,469985,11418,161369,10542,17,3619,Y,4,-79.39735,43.65148
4671,RABBA FINE FOODS,Teddy Yost,3089 LAKE SHORE BLVD W,7584253197,7523751627,lhefkwuzgs@zniqlhs.exs,HV9edfQbQ5Y1s @ wqm .com,11-20 years,Y,"Lease, want to purchase",43,17,10,152,13,52,Y,Y,N,N,Mexican,N,Low-end,120601,6865,6521,3551,1374,192,N,0,-79.51204,43.59891
4672,RACHEL'S COFFEE HOUSE,Garry Crooks,2011 YONGE ST,4538372758,1686313726,lkn@ft.xoq,NA,Under 1 year,Y,Lease,58,5,8,134,25,86,Y,Y,Y,N,Chinese,Y,Low-end,272584,94260,97064,7528,1818,2680,N,0,-79.39681,43.70105
4673,RACK & CUE,Vicente Little,1395 LAWRENCE AVE W,4384978964,7435413216,ouzsyjwnq@zhunfdk.vwu,Bc4ryp5QPUCkg @ tsc .com,1-5 years,N,Own,19,15,60,109,26,59,Y,Y,Y,N,Greek,N,Average,441602,57077,329311,13548,4665,10103,Y,1,-79.47721,43.70881
4674,RADIO CAFE,Lillie Konopelski,1 MOUNT PLEASANT RD,2642547354,7923678259,h@lv.pwm,Zi8cktFC8qQxb @ vwm .com,11-20 years,N,Lease,38,2,7,160,65,71,Y,N,Y,N,Korean,N,Low-end,170043,97899,109919,7195,2846,4651,N,0,-79.37947,43.67041
4675,RADIO STATION CAFE,Trudy Wintheiser,381 DONLANDS AVE,8437155937,9843878471,aoinp@ugyhxtfb.plf,ZXPoD0cAzWRrN @ wez .com,Over 20 years,N,Own,12,12,65,151,18,84,Y,Y,N,N,Mexican,Y,Low-end,150869,17492,126735,6467,583,5433,Y,5,-79.34239,43.69355
4676,RAHIER,Katelyn Sipes,1586 BAYVIEW AVE,3949233125,8548948956,aley@tb.agk,BsYmkOEax5445 @ dna .com,Under 1 year,Y,Own,26,12,19,108,42,66,Y,N,Y,N,Mediterranean,N,Average,208437,22298,19715,5333,2894,504,N,0,-79.3755,43.70573
4677,RAILS AND ALES,Cody Heaney,1106 DANFORTH AVE,4383481497,6384168427,eb@fueh.smi,WfDiCucACfxA8 @ mfq .com,Over 20 years,N,Lease,23,12,14,161,50,86,Y,Y,N,Y,Mexican,N,Average,295642,99134,202514,6938,286,4752,Y,1,-79.33458,43.68129
4678,RAIN IZAKAYA,Abe Hessel,35 SHEPPARD AVE E,5488647386,7697659572,upirn@cvtendbm.cmf,AJuLkjfDuskdK @ nif .com,11-20 years,N,Lease,5,1,5,106,0,59,Y,N,N,N,Mexican,N,Average,262044,49438,45035,6397,583,1099,N,0,-79.40925,43.76161
4679,RAINBOW JAPANESE RESTAURANT,Valarie Vandervort,3450 BATHURST ST,7684251652,4786194563,cafl@bmfga.itj,BPhDwoq6hw3iq @ lql .com,11-20 years,Y,Lease,61,19,10,77,33,96,Y,Y,Y,N,Indian,N,High-end,556342,284853,251671,19932,3594,9016,N,0,-79.43203,43.72792
4680,RAJ MAHAL INDIAN CUISINE,Milan Hilll,1881 STEELES AVE W,8578147893,6525736213,s@etv.xpd,XkZ1slgiAFudx @ bmy .com,1-5 years,N,Own,42,14,24,94,27,92,Y,Y,N,N,Mexican,Y,Average,364129,103105,261784,7407,1303,5325,Y,4,-79.46964,43.78718
4681,RAJDHANI SWEETS & RESTAURANT,Trenton Schamberger,2658 ISLINGTON AVE,1868965318,4396231329,ot@ouh.msi,OLN8TXP8UgKjJ @ xdn .com,1-5 years,Y,Lease,31,7,15,74,16,51,Y,Y,Y,N,Chinese,Y,High-end,755718,273800,305271,15412,7197,6226,N,0,-79.56644,43.7384
4682,RAJIN'S ROTI TAKE OUT,Elmer Haley,5743 FINCH AVE E,5145286597,8317646543,xwv@pjmavfx.mpv,UnE8BapruHAcN @ sfd .com,Over 20 years,N,Lease,34,4,9,130,27,87,Y,Y,Y,N,Japanese,Y,Average,503895,231109,240954,22520,12532,10769,N,0,-79.23258,43.8148
4683,RAJKAPURI PAAN & SNACKS,Yasuko O'Reilly,377 DONLANDS AVE,8147867849,9783184269,yqxtr@umfpsok.ztw,21frjmjir3LOZ @ oqb .com,6-10 years,N,Own,34,13,16,70,40,42,Y,N,N,N,Thai,N,Average,306365,62564,67889,11644,2014,2580,N,0,-79.3422,43.69337
4684,RAKU,Titus Sauer,"456 QUEEN ST W, Flr-MAIN",8616477652,5797532531,mvhlfoub@yjqabenwkv.izv,LyuPEMDTuCvPB @ twy .com,6-10 years,N,Own,23,3,56,167,69,55,Y,N,N,N,Indian,N,Average,226638,80844,275446,8326,750,10119,Y,5,-79.39949,43.64832
4685,RALLY RESTAURANT AND BAR,Kirstie Ernser,"4950 YONGE ST, Unit-105",3943719731,3912353495,uyxw@bpqmfutngl.wao,UFCtYfiRGM5Cl @ tik .com,Under 1 year,Y,Lease,30,17,30,90,29,61,N,Y,N,Y,Italian,N,Low-end,198133,9907,111609,5647,1204,3181,Y,1,-79.41268,43.76483
4686,RALLY SPORTS & SMOKEHOUSE,Erick Hills,1660 O'CONNOR DR,2732656235,7537921237,al@y.ubi,0zrXW8R2ZY7Vi @ puh .com,Over 20 years,N,Own,28,17,18,124,15,91,Y,Y,N,N,Chinese,N,Average,243295,46037,51468,7028,1540,1486,N,0,-79.30502,43.71736
4687,RALPH THORNTON COMMUNITY CENTRE,Jaymie Feil,765 QUEEN ST E,3695739857,8277929537,vuwsqj@dpguok.yov,wKiLKwX6nOcPz @ vvj .com,1-5 years,N,Lease,46,11,17,112,35,95,Y,Y,N,N,Others,N,Average,400431,55968,374523,15146,3922,14166,Y,3,-79.34758,43.6592
4688,RAMADA HOTEL-SHADE RESTAURANT,Ethan Grimes,"300 JARVIS ST, Unit-1",2484794658,9432735786,yultofasc@vmdqzsrf.bnh,gpQxLy6dcOu1R @ svx .com,Over 20 years,N,"Lease, want to purchase",65,8,54,107,15,45,Y,Y,Y,N,Chinese,N,Low-end,214631,128013,78243,5149,13,1877,Y,5,-79.3768,43.66139
4689,RAMEN ISSHIN,Zona Sawayn,421 COLLEGE ST,9171821245,3848614239,xfbqrmy@hbndkgoq.dcy,Eegeu0VTcEPWJ @ tqv .com,11-20 years,N,Lease,36,15,33,87,2,49,N,N,Y,N,Italian,N,Average,320817,26367,259793,14358,5912,11627,Y,5,-79.40704,43.6566
4690,RAMEN ISSHIN,Alvin Kessler,609 QUEEN ST W,8196383864,6854957612,piswhldaxn@p.tqp,s5hOVWZ76oCBp @ kvj .com,11-20 years,Y,Own,5,13,4,86,50,41,Y,Y,N,N,Mexican,N,Low-end,162507,16598,135001,5614,1962,4664,Y,5,-79.40239,43.64752
4691,RAMEN MISOYA,Glayds Jaskolski,646 QUEEN ST W,9528521692,5647439324,umn@ar.pbh,Unl7QbvlTP2xJ @ eln .com,1-5 years,N,Lease,63,2,4,129,59,44,Y,Y,Y,N,Greek,N,Average,318050,95418,103373,8115,680,2637,N,0,-79.4063,43.64691
4692,RAMEN RAIJIN,Kazuko Rowe,24 WELLESLEY ST W,4697984839,7526826853,eqskg@hcw.rmn,gFQyE8qP7AH1q @ zwo .com,Under 1 year,Y,Own,16,16,2,115,8,94,Y,Y,Y,N,Mediterranean,Y,Average,250507,70852,262368,10112,1567,10591,Y,5,-79.38611,43.66485
4693,RAMEN-RICHTREE NATURAL MARKET RESTAURANTS,Ferne Bosco,1 DUNDAS ST W,4356788376,5739413574,evkdfjbi@mckvgnwh.zvg,OG5oc2rZpaAQp @ lpw .com,1-5 years,N,Own,29,6,2,112,28,77,Y,N,Y,Y,American,N,Average,494572,191942,205490,17975,249,7468,N,0,-79.38044,43.6562
4694,RANCHO  RELAXO,Piedad McCullough,735 KIPLING AVE,7517932435,6498948463,zoatbmnshx@hgzt.wmj,NA,Under 1 year,N,Own,50,7,66,136,17,61,Y,Y,Y,N,Mediterranean,Y,Average,301219,3039,311202,6173,1898,6378,Y,5,-79.52869,43.62674
4695,RANCHO RELAXO,Bradley Leuschke,1635 DUPONT ST,2648977186,4812484698,adrhqoi@yiknlsx.res,jNPu6jTocEjr8 @ jgh .com,6-10 years,N,Lease,31,8,2,91,42,60,Y,Y,Y,Y,Indian,N,Average,498942,44371,47020,20129,2418,1896,N,0,-79.45553,43.66461
4696,RANDY'S ROTI  & DOUBLES,Buford Aimonetti,876 YONGE ST,1748462189,7122717438,cthzi@qnhzmpdxob.hza,BkJyufppjdLpF @ akq .com,Over 20 years,Y,Lease,20,2,4,156,67,93,Y,Y,Y,N,Japanese,Y,High-end,519116,161999,161887,15022,10,4684,N,0,-79.38796,43.67251
4697,RAP'S,Fae Connelly,"1541 EGLINTON AVE W, Unit-A",8969176197,9137934968,pgbilfzt@d.dvu,NA,Over 20 years,Y,Lease,17,13,6,102,39,56,Y,Y,Y,N,Mexican,N,Low-end,145817,30426,30021,6238,2297,1284,N,0,-79.44104,43.69746
4698,RAPIDO,Robby Runolfsdottir,1089 BATHURST ST,7318162179,4177949835,bhxegnmlav@ijwty.jpq,HlPGoa22zopNM @ xpy .com,1-5 years,N,Own,51,14,14,102,15,76,Y,N,N,N,Greek,N,Average,395867,180387,176881,14597,1899,6522,N,0,-79.41423,43.67286
4699,RAQ-N-WAQ,Albert Jacobi,"739 QUEEN ST W, Flr-2",8132397182,2658458257,zatxknuj@uliat.jgf,LndoOlQHXcvsM @ qge .com,Under 1 year,N,Lease,43,18,14,73,43,57,Y,Y,Y,Y,Greek,N,Low-end,226027,35242,36432,9061,1191,1460,N,0,-79.40688,43.64643
4700,RASA,Ethan Spencer,196 ROBERT ST,8158931436,4392649543,getj@b.ygq,mHVSmVKwS6Djr @ rjy .com,6-10 years,Y,Lease,67,16,15,92,28,91,Y,N,N,N,Chinese,N,Low-end,180713,81636,75360,4458,390,1859,N,0,-79.40397,43.66278
4701,RASHINA'S PLACE,Bryant Waters,2856 DANFORTH AVE,3893982197,9264685683,grtjba@nsl.dkt,TZqVW1Ho7waRw @ giy .com,1-5 years,N,Lease,50,8,19,165,12,55,Y,Y,Y,N,American,N,High-end,576944,62695,65497,17201,8802,1952,N,0,-79.29511,43.68997
4702,RASTA PASTA BAR AND LOUNGE,Slyvia Herzog,65 KENSINGTON AVE,2638946275,6138745698,xisklqgat@ot.fom,xecCGPP28nv5F @ mxg .com,1-5 years,N,Own,38,19,15,91,37,49,Y,N,N,Y,Greek,N,Low-end,176074,6972,7756,7762,3127,341,N,0,-79.40051,43.65429
4703,RAVI SOUPS,Justin Douglas,1533 QUEEN ST W,3951267231,5632896491,jdtpxr@tc.yzc,FT5A2e2AoOGgu @ bkv .com,1-5 years,N,Lease,24,12,18,148,3,87,N,N,Y,Y,Chinese,Y,Average,188385,33816,37162,6369,546,1256,N,0,-79.44253,43.63937
4704,RAVI SOUPS,Donnie Jaskolski,1128 QUEEN ST W,7946576958,8457368641,qkpsoaf@nql.wvd,A8gC0IC6YZ0te @ lun .com,6-10 years,Y,Lease,25,4,16,83,29,52,Y,Y,Y,N,Indian,N,Average,264653,134422,107606,7796,2098,3169,Y,5,-79.42382,43.64319
4705,RAZA,Ingeborg West,403 RONCESVALLES AVE,6741863964,6592873742,l@bu.qto,hiHJQoZpQkk9w @ uzm .com,Over 20 years,N,Own,11,5,14,108,59,69,Y,Y,Y,N,Mediterranean,Y,Average,185345,10127,228531,5284,3048,6515,Y,4,-79.45085,43.65095
4706,REAL EMPANADA,Diedre Lindgren,825 DUNDAS ST W,2459286935,3681794716,gj@uzvwdac.rwh,vBu65J1r3MfBL @ wds .com,Over 20 years,Y,Own,36,7,14,102,65,93,Y,Y,Y,N,Italian,N,High-end,747130,207790,210388,28688,11544,8078,N,0,-79.40899,43.65159
4707,REAL FRUIT BUBBLE TEA,Tyron Stracke,"1448 LAWRENCE AVE E, Unit-18",5181893276,3277698349,hxy@ljraxzkevu.ims,zqKbPiTOOCuSZ @ xez .com,6-10 years,N,"Lease, want to purchase",43,17,58,147,21,51,N,N,Y,N,Greek,N,High-end,716595,357703,487927,24072,1431,16390,Y,4,-79.31311,43.74181
4708,REAL FRUIT BUBBLE TEA,Eufemia Bailey,3300 BLOOR ST W,6732783981,4719732741,pfvdkx@klwntzv.iqy,QBVcE2ul0pfw8 @ hut .com,1-5 years,Y,"Lease, want to purchase",61,5,16,91,2,78,Y,N,Y,N,Thai,N,High-end,447078,118429,134830,12996,2536,3919,N,0,-79.5224,43.64549
4709,REAL FRUIT BUBBLE TEA,Adam Quigley,444 YONGE ST,9835929612,4978914295,emlbpghjd@guitze.hla,asAoCrbuWqhtL @ chv .com,1-5 years,Y,Own,64,9,50,116,18,40,Y,Y,Y,N,Indian,N,High-end,692918,5439,368107,24912,5439,13234,Y,1,-79.38404,43.66062
4710,REAL FRUIT BUBBLE TEA,Von Goyette,"3080 YONGE ST, Unit-E",7321962167,6489541843,zeiqmcr@gxzhr.qao,IDXdkLsTyxE9n @ cji .com,Over 20 years,Y,Own,40,14,55,80,51,94,Y,Y,N,N,Chinese,N,Low-end,264501,37802,99474,9159,138,3444,Y,4,-79.40295,43.72557
4711,REAL FRUIT BUBBLE TEA,Garland Rice,"1090 DON MILLS RD, Unit-G009",8152952139,9487394216,xzlfjwnsv@akbdyfhvnj.pta,NA,1-5 years,N,Own,55,19,10,89,19,82,Y,Y,Y,N,Japanese,N,Average,268591,97195,253951,10085,3368,9536,Y,1,-79.34423,43.73644
4712,REAL FRUIT BUBBLE TEA,Stewart Bins,219 QUEEN ST W,1842571869,6218278564,yzbnhsqu@n.iaj,rkcyXxpFrSvpW @ kqq .com,1-5 years,Y,Own,68,12,19,95,13,65,Y,N,Y,N,Mediterranean,N,Low-end,250694,82722,87010,9611,3055,3336,N,0,-79.3879,43.65033
4713,REAL ISLAND FLAVOUR,Yan Kuphal,"2700 KIPLING AVE, Unit-11",4624525267,6597462785,iwbpurfm@a.lvk,k2TXLS6Rf979P @ uxb .com,1-5 years,Y,Own,51,18,6,81,1,89,Y,Y,Y,N,Japanese,N,Low-end,122273,15291,73448,2606,449,1565,Y,2,-79.58932,43.7567
4714,REBECCA LOUNGE,Kurtis Ankunding,1212 KING ST W,5626293764,5735915182,qmhvtfegkw@rnskaygifq.fhx,tWWejBlfccPia @ hxp .com,1-5 years,Y,"Lease, want to purchase",67,7,18,122,41,43,N,Y,Y,N,Indian,N,Low-end,267071,77809,71732,7988,1375,2145,N,0,-79.42793,43.63893
4715,REBOZOS,Johnna Kilback,126 ROGERS RD,6383152167,8296413486,sonvb@lamxbhq.dfi,eeRotD8dTeOwP @ dqf .com,1-5 years,N,Lease,55,8,52,152,63,77,Y,Y,Y,N,Mexican,N,High-end,668779,103017,485852,29436,3909,21384,Y,5,-79.4496,43.68479
4716,RED CHILLI,Jazmin Pfannerstill,1266 DANFORTH AVE,4154861475,6837958476,gebo@mi.jrx,Ol7h7f8grrEyu @ rjj .com,1-5 years,N,Lease,65,3,4,132,29,64,Y,Y,Y,N,Japanese,N,Average,230429,103824,91235,5955,695,2358,N,0,-79.33072,43.68205
4717,RED FOX BAR & GRILL,Noe Dibbert,9390 SHEPPARD AVE E,5172184769,6793897189,dxwu@ctyzv.fdy,2FXyGLwj3bJf8 @ jnw .com,11-20 years,N,"Lease, want to purchase",14,7,19,142,23,70,Y,N,Y,N,Vietnamese,Y,High-end,405693,56333,48304,11872,2149,1413,N,0,-79.17593,43.80752
4718,RED HOT TANDOORI,Jonah Rippin,3026 DANFORTH AVE,2474985278,2714873641,aeh@zs.mgy,k2k54Fdyc0zvX @ old .com,Under 1 year,N,Lease,35,13,62,159,43,80,Y,Y,N,N,Japanese,N,Low-end,238928,142515,125643,9611,2092,5054,Y,5,-79.29021,43.69101
4719,RED KAOLIANG RESTAURANT,Retha Ward,2200 MARTIN GROVE RD,8765977685,7946249623,kwsmqxjvzf@oxmgw.ptl,65XwIqiHMByrc @ bbi .com,Under 1 year,N,Lease,10,10,30,77,15,82,Y,Y,Y,N,Greek,Y,Low-end,208320,1518,100830,4254,1192,2059,Y,1,-79.59917,43.75163
4720,RED LANTERN PUB,Eugene Feil,228 MERTON ST,4375235317,4292341734,hxqynour@zlwyfqocd.swc,bfPqHVOCBPEMo @ tsl .com,Under 1 year,N,"Lease, want to purchase",29,3,4,161,46,89,Y,N,Y,N,Mexican,N,High-end,739696,119125,106457,30028,9756,4321,N,0,-79.38935,43.6978
4721,RED LOBSTER,Chere Schuppe,3252 SHEPPARD AVE E,1755121547,4259854263,dcgarvxm@fjb.bhl,zPcu1nQLGx3QZ @ mvg .com,6-10 years,N,Lease,27,12,11,145,46,48,Y,Y,Y,N,Mexican,N,Average,328654,63943,56163,12530,840,2141,N,0,-79.31193,43.7785
4722,RED LOBSTER,Elnora Koepp,3200 DUFFERIN ST,2642383745,8578974179,nxbusozyw@kgwbmve.xqb,NA,1-5 years,N,Own,59,18,8,88,44,52,N,Y,N,N,Vietnamese,N,Low-end,155781,54747,185517,6199,681,7383,Y,3,-79.45584,43.71838
4723,RED LOBSTER,Tamar Denesik,20 DUNDAS ST W,9314613864,2764382639,oprnuaedl@sd.psm,jAsM6wun953mT @ kxz .com,11-20 years,Y,Lease,12,19,45,88,24,47,Y,Y,Y,N,Chinese,N,Low-end,129850,6820,111748,2704,1151,2327,Y,5,-79.3816,43.65637
4724,RED LOBSTER,Harley Quitzon,1790 THE QUEENSWAY,9456376548,3515712593,jigbhywasz@lxearkzd.wld,NA,Under 1 year,Y,"Lease, want to purchase",49,1,52,97,38,77,N,Y,Y,N,Vietnamese,N,Average,457236,30950,257280,12665,5123,7126,Y,3,-79.56091,43.61345
4725,RED LOUNGE,Jefferey Denesik,444 SPADINA AVE,4933854739,8757934615,zw@vcwatmbj.fko,cTaT2aWJE1NBa @ pwm .com,Under 1 year,Y,Own,39,14,21,71,7,66,Y,Y,N,Y,Others,Y,Average,457984,206322,168693,13011,4324,4792,Y,5,-79.39996,43.65707
4726,RED ROCK RESTAURANT,Pearline Bernhard,103 REXDALE BLVD,8719855964,3429272369,komgrc@exi.tux,96mtzn6l1AtzG @ mxx .com,1-5 years,N,Lease,23,19,3,106,22,63,Y,Y,Y,N,Vietnamese,Y,Average,230751,109802,117692,6220,2743,3172,N,0,-79.56385,43.71198
4727,RED ROCKET COFFEE,Shery Bauch,154 WELLESLEY ST E,7399679217,2988165741,ogxdyqlf@kgiolj.rdx,5e27lE6HByiIl @ ydp .com,1-5 years,N,Own,7,1,12,103,13,80,Y,N,N,Y,Vietnamese,N,Low-end,237177,125643,115985,8090,501,3956,N,0,-79.37603,43.66664
4728,RED ROCKET COFFEE,Londa Abernathy,1364 DANFORTH AVE,8131261369,7695768432,km@dpok.sid,34PCfJrbkAZOQ @ ixt .com,Over 20 years,N,"Lease, want to purchase",40,10,58,82,60,55,Y,N,Y,N,Mexican,Y,High-end,487031,63845,426008,10129,2355,8860,Y,4,-79.32855,43.68257
4729,RED ROSE PATISSERIE,Galen Feil,6184 YONGE ST,4896926413,6142893251,jhbtrgq@prvnqcdia.jai,rIxkcQo3ISqpM @ cyn .com,Under 1 year,N,"Lease, want to purchase",68,10,19,73,3,47,Y,Y,N,Y,Italian,N,Average,376750,54375,58293,14032,2993,2171,N,0,-79.41921,43.79343
4730,RED TEA HOUSE,Brandie Dickinson,2903 KENNEDY RD,3413524153,3251246931,sx@hzmtdagoy.txq,InWPn54dGqqgZ @ vdy .com,Under 1 year,N,Own,6,4,3,75,18,42,Y,Y,Y,N,Greek,Y,Low-end,148157,48713,55711,6335,1404,2382,N,0,-79.29762,43.80348
4731,REDS WINE TAVERN,Alec King,77 ADELAIDE ST W,6579348174,6955386381,vd@esc.ujn,6a7JIjPbLYGch @ jmt .com,Over 20 years,N,Own,63,9,21,112,47,72,Y,Y,N,N,Greek,N,Average,258220,48982,182540,11086,1789,7837,Y,1,-79.38247,43.64933
4732,REGAL GARDEN,Valerie Sauer,643 BLOOR ST W,8965769524,3299365693,oftdbwnak@vkfyhz.xme,c0BxFJASWBUUr @ kgz .com,11-20 years,N,Own,53,7,5,115,51,84,Y,N,Y,N,Mexican,N,Average,324559,43796,42657,7508,2001,986,N,0,-79.41506,43.6642
4733,REGENCY RESTAURANT,Mable Lockman,1423 GERRARD ST E,3146422967,4378218567,cadvxqg@uvkhcajyzi.mof,HyfZtuK9ty41I @ mno .com,Under 1 year,Y,Lease,61,14,2,91,54,50,Y,Y,Y,N,Japanese,Y,Low-end,257587,59623,62350,10667,3303,2582,N,0,-79.32242,43.67202
4734,REGINA PIZZERIA & TRATTORIA,Morris Ullrich,"782 COLLEGE ST, Unit-1",3616232537,9652915763,htzvrgl@fvtam.luy,IJbwTVvLDi634 @ ler .com,Under 1 year,Y,Own,13,9,58,72,15,53,Y,N,Y,N,Others,N,Low-end,207132,68307,113710,6772,2348,3717,Y,4,-79.42085,43.65479
4735,REGINA'S KITCHEN,Darron Skiles,844 SHEPPARD AVE W,4672197492,4865343691,fcdk@feljmp.vpo,1brGn8SfnUUXk @ tzm .com,11-20 years,Y,Own,19,16,12,115,20,59,Y,N,N,Y,American,Y,Average,321101,199148,203250,13386,2388,8473,N,0,-79.45244,43.75285
4736,REGINO'S PIZZA,Miki Bauch,1300 FINCH AVE W,3454893168,1248947652,ka@rukpxmy.tmn,bXdkXOMPQCNab @ aav .com,Under 1 year,N,Own,54,6,6,159,29,91,Y,Y,N,N,Korean,Y,Average,369954,141236,397938,14853,1701,15977,Y,3,-79.48988,43.76485
4737,REGULARS,Jaleesa Rohan,668 KING ST W,5461595713,8369874159,evgndj@fnyplcwg.xru,zn4efAXb8GX97 @ mld .com,1-5 years,N,Lease,35,18,8,96,15,74,N,N,Y,N,Others,Y,Low-end,235934,55856,64053,7460,3114,2025,N,0,-79.40257,43.64392
4738,REID'S DISTILLERY,Jan Turner,32 LOGAN AVE,2497291974,8438476851,xotiu@cw.qsp,vtFsYwN6oVs0C @ kuf .com,Under 1 year,N,Lease,48,5,18,131,58,45,Y,Y,Y,N,Japanese,N,Low-end,128850,12714,11288,2783,1368,243,N,0,-79.34059,43.65521
4739,RELIABLE HALIBUT AND CHIPS,Ilona Gleichner,954 QUEEN ST E,9647919586,8165467926,ndorjzh@ikyxht.nsc,oLQUbAJDrRsmk @ ark .com,6-10 years,N,Lease,48,17,11,159,19,71,Y,Y,Y,Y,Mexican,N,Average,483037,93109,85651,19631,5679,3481,N,0,-79.34101,43.66105
4740,REMELY'S,Zandra Lang,"4830 SHEPPARD AVE E, Unit-16",2856359571,9127516549,og@dcsym.wus,uva1dNtnD5rOl @ mnx .com,1-5 years,N,Own,14,13,9,86,32,76,Y,Y,Y,Y,Japanese,Y,Low-end,176446,42054,39648,7627,2715,1713,N,0,-79.24928,43.7919
4741,REMEZZO ITALIAN BISTRO,Debbi Bashirian,3335 SHEPPARD AVE E,6175124621,3869584876,qlgw@ugz.rec,yhNnCwylNkcD9 @ lvs .com,6-10 years,N,Lease,69,7,7,148,4,83,Y,Y,N,N,Japanese,N,Average,274005,37915,270506,10807,1258,10669,Y,1,-79.30817,43.77846
